id,public_id,description,level,parent_id
567,1603661,Medical Waste Bags & Containers,3,42
568,1603662,Smoking Receptacles,3,42
569,1603663,Waste Containers & Lids,3,42
570,1603664,Juice,3,54
571,1603665,Sodas & Sports Drinks,3,54
572,1603666,Water,3,54
573,1603667,Coffee Pots & Servers,3,18
574,1603668,Cooking Tools,3,48
575,1603669,Food Storage,3,48
576,1603670,Bowls,3,40
577,1603672,Coveralls,3,52
578,1603673,Overall Bibs & Aprons,3,52
579,1603674,Protective Gear,3,52
580,1603675,Bandages & Wraps,3,41
581,1603676,Wound Care,3,41
582,1603677,Coated Gloves,3,61
583,1603678,General Purpose Gloves,3,61
584,1603679,Work Gloves,3,61
585,1603680,Exam Room Supplies,3,34
586,1603681,Screening & Home Tests,3,34
587,1603682,Walkers & Crutches,3,34
588,1603684,Multipurpose Masks,3,75
589,1603685,N95 Masks,3,75
590,1603686,Surgical Masks,3,75
591,1603690,Folding Tables,3,39
592,1603700,Receipts/Petty Cash Book,3,20
593,1603702,Desktop Accessories,3,13
594,1603704,Padfolios & Pad Holders,3,35
595,1603709,Plastic/Rubber Bands,3,26
596,1603711,Outdoor Equipment,3,27
597,1603714,Catalog Racks/Reference Display,3,35
598,1603715,Coffee Filters,3,18
599,1603716,Breakroom Organizers,3,48
600,1603717,Plastic Holders & Pockets,3,26
601,1603718,Classroom Organizers,3,47
602,1603720,Decorative Accents,3,69
603,1603721,Tumblers,3,40
604,1603722,Table Covers & Skirts,3,39
605,1603724,Safety Tape,3,29
606,1603725,Restroom Signs,3,63
607,1603726,Art Stations,3,32
608,1603727,Academic Planners,3,11
609,1603728,Binder Reinforcements,3,44
610,1603730,Book Bags,3,71
611,1603731,Classroom Accessories,3,47
612,1603732,Easel Pads,3,58
613,1603733,Conferencing Power Modules,3,64
614,1603734,Kid Scissors,3,71
615,1603735,Student Notebooks & Folders,3,36
616,1603736,Basic Supplies,3,71
617,1603737,Mouse Pads & Wrist Rests,3,10
618,1603308,Hot Cup Sleeves,3,53
619,1603649,Lanterns,3,28
620,1603739,Outdoor Seating,3,15
621,1603740,Outdoor Tables,3,39
